,protocol,number of @,number of //,number of /,number of .,number of -,number of random characters,length of url,length of host name,length of query component,number of third level domains,existence of ip,existence of shady TLD,label
424,1,0,0,7,3,0,7,115,11,0,0,1,0,1
425,0,0,0,0,0,0,0,17,0,0,0,0,0,0
426,0,0,0,0,0,0,0,17,0,0,0,0,0,0
427,1,0,0,3,1,0,1,55,20,0,0,0,0,1
428,0,0,0,0,0,0,0,22,0,0,0,0,0,0
429,0,0,0,0,0,0,0,14,0,0,0,0,0,0
430,1,0,0,10,2,0,0,131,14,0,1,0,0,1
431,0,0,0,0,0,0,0,22,0,0,0,0,0,0
432,1,0,0,0,3,0,0,22,15,0,0,1,0,1
433,0,0,0,0,0,0,0,24,0,0,1,0,0,1
434,0,0,0,0,0,0,0,23,0,0,0,0,0,0
435,0,0,0,0,0,0,0,7,0,0,0,0,0,0
436,1,0,0,3,2,0,0,49,17,0,1,0,0,1
437,0,0,0,0,0,0,0,13,0,0,0,0,0,0
438,0,0,0,0,0,0,0,24,0,0,0,0,0,0
439,0,0,0,0,1,0,0,22,14,0,0,0,0,0
440,0,0,0,0,0,0,0,10,0,0,0,0,0,0
441,0,0,0,0,0,0,0,14,0,0,0,0,0,0
442,1,0,0,4,1,0,0,69,24,0,0,0,0,1
443,1,0,0,6,2,0,9,151,17,63,0,0,0,1
444,1,0,0,1,3,0,0,27,12,0,0,1,0,1
445,0,0,0,0,0,0,0,13,0,0,0,0,0,0
446,0,0,0,1,3,0,3,37,17,10,1,0,0,0
447,1,0,0,2,1,0,0,33,12,0,0,0,0,1
448,0,0,0,1,2,0,19,140,14,110,1,0,0,0
449,0,0,0,0,0,0,0,13,0,0,0,0,0,0
450,0,0,0,0,0,0,0,8,0,0,0,0,0,0
451,0,0,0,1,3,0,0,24,15,0,1,0,0,0
452,0,0,0,0,1,0,0,16,8,0,0,0,0,0
453,0,0,0,0,0,0,0,6,0,0,0,0,0,0
454,0,0,0,0,0,0,0,17,0,0,0,0,0,0
